address,symbol,name,decimals,logo_uri,price_usdc,market_cap,liquidity_usd,volume_24h,price_change_24h,age_hours,pair_created_at,route_count,dexes,price_impact,has_dexscreener_data,is_tradeable,first_discovered_at,last_updated_at,discovery_source,tags,metadata,tx_count_24h,has_verified_contract,has_rug_check,rug_score,issues,quality_score,jupiter_ok,dex_ok,holders,invest_score
Eac43hMVVje3BjKeXQrY3zkkyERjPXbsiaqGW9Qgpump,BBM,BRING BULL MARKET,6,https://cf-ipfs.com/ipfs/QmPW4CT4KV71CamhitCZXUm6wk6TejA2NHu68VeoT9xzuj,,,,,,,,,[],,0,0,2025-07-24 17:59:35,2025-07-24 17:59:35,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmPW4CT4KV71CamhitCZXUm6wk6TejA2NHu68VeoT9xzuj"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
71tUuNEhjxPzyifxh6PEipnmxYdZiLsDm6HSX1P8pump,RC,RUSS Coin,6,https://cf-ipfs.com/ipfs/QmQVKM4uz3HibCXAXkwMZBseP2RJfHh9pDh5reMFR6RdMM,,,,,,,,,[],,0,0,2025-07-24 17:59:36,2025-07-24 17:59:36,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmQVKM4uz3HibCXAXkwMZBseP2RJfHh9pDh5reMFR6RdMM"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
GCjhEEviDzCBPqrF5nNDYELaGpWB5fxnuAze5oUPpump,jpg ,jpg cat,6,https://cf-ipfs.com/ipfs/QmXFfG7dj5gi3wb4NhSgohY1CWKD25EPTEUxDuTXc39gZg,,,,,,,,,[],,0,0,2025-07-24 17:59:37,2025-07-24 17:59:37,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmXFfG7dj5gi3wb4NhSgohY1CWKD25EPTEUxDuTXc39gZg"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
8VpoSH6ojwZopW9Jdcg7pXCfraC2o3wUvbZCCNTbpump,HIJACK,Terrorists Love Toyota,6,https://cf-ipfs.com/ipfs/QmbNnSMDZaygkXsr5NRa18Mogbr8GvMGbWcAApVaq38zDR,,,,,,,,,[],,0,0,2025-07-24 17:59:37,2025-07-24 17:59:37,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmbNnSMDZaygkXsr5NRa18Mogbr8GvMGbWcAApVaq38zDR"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
3i7tQxtrQqNgWbmGg1yMSbRJPJtbheUUKzxuJoJDpump,WIN,WIN WIN WIN,6,https://cf-ipfs.com/ipfs/QmRY4hsi2XrE858v9Ci44fZRa1p9Rrgb6Zp3egUUXwGAdi,,,,,,,,,[],,0,0,2025-07-24 17:59:38,2025-07-24 17:59:38,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmRY4hsi2XrE858v9Ci44fZRa1p9Rrgb6Zp3egUUXwGAdi"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
ZCtAzBMrdrodHDN81BUXLbJFWnyp2J4iT5ejPfZXSrR,HEMAN,He-Man,8,https://gateway.irys.xyz/aCSyRzzZCTrkxgSZBC0hO3qokhpEUFYACGB44XdrwXc,,,,,,,,,[],,0,0,2025-07-24 17:59:39,2025-07-24 17:59:39,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://gateway.irys.xyz/aCSyRzzZCTrkxgSZBC0hO3qokhpEUFYACGB44XdrwXc"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
4bNvwbR1kKAHGANdrcZiy3haJxd3WmDjefPAvvadpump,YeBwoy,YeBwoy ,6,https://cf-ipfs.com/ipfs/Qmd6M2NiyaX3DSHXaV25Pb9VPj2vjs5JPiQjCqX64QENxt,,,,,,,,,[],,0,0,2025-07-24 17:59:40,2025-07-24 17:59:40,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/Qmd6M2NiyaX3DSHXaV25Pb9VPj2vjs5JPiQjCqX64QENxt"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
55dgnDaHTQcNRnCpVkmWNzfmTmdEQjyDQpfD4YL61vPy,TFC,TrumpFun ,6,https://pump.mypinata.cloud/ipfs/QmYFnEYEpVKGci1dhbEfw9DkcU966g6VUPireq1SfzTFjt,,,,,,,,,[],,0,0,2025-07-24 18:00:47,2025-07-24 18:00:47,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://pump.mypinata.cloud/ipfs/QmYFnEYEpVKGci1dhbEfw9DkcU966g6VUPireq1SfzTFjt"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,11.0,0,0,,
3zXrDQV4ut57P2fFMjCeskHNSLUnfu7axBv95q8xZmbU,TRUMP,Trump Campaign,6,https://gateway.irys.xyz/TZZ7CpzLUdaohnKjc5ney-0E0mcIyErS_VfaQ5ejsms,,,,,,,,,[],,0,0,2025-07-24 18:00:48,2025-07-24 18:00:48,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://gateway.irys.xyz/TZZ7CpzLUdaohnKjc5ney-0E0mcIyErS_VfaQ5ejsms"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,11.0,0,0,,
AgR3mPDRwzDokZH1Qem5pCWKLmFA1DN3NKfyC76Qpump,FIRSTDOGE,FIRSTDOGE,6,https://cf-ipfs.com/ipfs/QmUfsXiYn8DMziGSQm9Tnzen856F95KDj9C4ZE5bwtt1fi,,,,,,,,,[],,0,0,2025-07-24 18:00:48,2025-07-24 18:00:48,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmUfsXiYn8DMziGSQm9Tnzen856F95KDj9C4ZE5bwtt1fi"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,10.0,0,0,,
