Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
3C84bNGnjv3fGM2RHduHZmjWYYTT2ajk5vrcLRaUjzbcWEbqxTRu3LAGNiggULVLHXvj2CdU941HKg8ea4DYcNgK,1754213534,2025-08-03T11:32:14,5.003e-06,62zfjDVyVP9eki58GL51wyGHUnoEvF58wLsccQFwTn2g,inc,3142902485561,1033546668846,4176449154407,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
3C84bNGnjv3fGM2RHduHZmjWYYTT2ajk5vrcLRaUjzbcWEbqxTRu3LAGNiggULVLHXvj2CdU941HKg8ea4DYcNgK,1754213534,2025-08-03T11:32:14,5.003e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,dec,3144477875278,714478277678131,711333799802852,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
3C84bNGnjv3fGM2RHduHZmjWYYTT2ajk5vrcLRaUjzbcWEbqxTRu3LAGNiggULVLHXvj2CdU941HKg8ea4DYcNgK,1754213534,2025-08-03T11:32:14,5.003e-06,AVmoTthdrX6tKt4nDjco2D775W2YK3sDhxPcMmzUAmTY,inc,1575389717,178597611084,180173000802,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2yNvWY7GtqK5VFGqiraZT3V5tAKbAcJFuLA2uYX1z8gyvD4nb7XWuEEd2bdTsCfpRpkyHNqvsDLXPGecu5151yDx,1754213516,2025-08-03T11:31:56,5.003e-06,62zfjDVyVP9eki58GL51wyGHUnoEvF58wLsccQFwTn2g,inc,979919285975,53627382871,1033546668846,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2yNvWY7GtqK5VFGqiraZT3V5tAKbAcJFuLA2uYX1z8gyvD4nb7XWuEEd2bdTsCfpRpkyHNqvsDLXPGecu5151yDx,1754213516,2025-08-03T11:31:56,5.003e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,dec,980410473587,729201255581242,728220845107654,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
2yNvWY7GtqK5VFGqiraZT3V5tAKbAcJFuLA2uYX1z8gyvD4nb7XWuEEd2bdTsCfpRpkyHNqvsDLXPGecu5151yDx,1754213516,2025-08-03T11:31:56,5.003e-06,AVmoTthdrX6tKt4nDjco2D775W2YK3sDhxPcMmzUAmTY,inc,491187612,174582827889,175074015502,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
45ZkZ3jZ9oinrHDm3Fe4KU6jWYs6MAAvZNMFgvsvsSgfc5EWtQZeof1PDYAuzvfx8uD5ZkaFmabzuUF61wyNqPWM,1754213469,2025-08-03T11:31:09,5.002e-06,62zfjDVyVP9eki58GL51wyGHUnoEvF58wLsccQFwTn2g,dec,5653583857152,5707211240023,53627382871,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
45ZkZ3jZ9oinrHDm3Fe4KU6jWYs6MAAvZNMFgvsvsSgfc5EWtQZeof1PDYAuzvfx8uD5ZkaFmabzuUF61wyNqPWM,1754213469,2025-08-03T11:31:09,5.002e-06,2Pr85M52YyJrTUxfbo1WqQfWGrnd3cg2KZvTN2nf4AMb,inc,5650764114578,735412362326712,741063126441291,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
45ZkZ3jZ9oinrHDm3Fe4KU6jWYs6MAAvZNMFgvsvsSgfc5EWtQZeof1PDYAuzvfx8uD5ZkaFmabzuUF61wyNqPWM,1754213469,2025-08-03T11:31:09,5.002e-06,FWsW1xNtWscwNmKv6wVsU1iTzRN6wmmk3MjxRP5tT7hz,inc,2819742572,172349981737,175169724310,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
5ZwFP244y2CWmDQLvNsHbDRnifm3nRsKTBuiwR23MWTtLJubDrdMCbmuUuekug2HFngS7DABEW8ZUDXzCz5G4QEr,1754213423,2025-08-03T11:30:23,5.003e-06,62zfjDVyVP9eki58GL51wyGHUnoEvF58wLsccQFwTn2g,inc,2880025355836,2827185884187,5707211240023,53SDajfns8MnVbLnmbBkaAjgGqf3vBScEgm44E6wZqvA,6,1.0
