Txhash,BlockTimeUnix,BlockTime,Fee(SOL),TokenAccount,ChangeType,ChangeAmount,PreBalancer,PostBalancer,TokenAddress,TokenDecimals,TokenMultiplier
3sdjkWmj1VkB4359s5HnL3skm7VRkjJrYFwgaoHxgy25qzD43UtomAYCNX68UULbPMC6ZV5xG7gJob6wCqECUzLm,1754147096,2025-08-02T17:04:56,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,6106840,207976727387,207982834227,So11111111111111111111111111111111111111111,9,1.0
3mWRDeDy5NDgXfmR7guwjCTncheGXkQy9Gw1bc3q6CjCeGR8oJz72QudV7vD4RYa4W5658futU2GkVvrvv8ANj61,1754147095,2025-08-02T17:04:55,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,2028280,207974699107,207976727387,So11111111111111111111111111111111111111111,9,1.0
2BFL7Kk4tPc3pSrn6ihd27VdAUEjqAxBmS1xbNdkoSzoo5dP6mv2ucZbM98BhWGRFgV3T4VU8cQo4yWzSAobVDL5,1754147095,2025-08-02T17:04:55,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,2028279,207972670827,207974699107,So11111111111111111111111111111111111111111,9,1.0
2hx8dz95BsmpWYb28kN54dcSyefRLu4jbLEUqfsgZDb4h3dkBX9TTtoBnhKBpCnt1EtF3Z37aU7AxB3kur4JrVFE,1754147095,2025-08-02T17:04:55,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,2028279,207970642547,207972670827,So11111111111111111111111111111111111111111,9,1.0
3uLQMZSTWvjiRysJyyqXzyYkWfaZBkFRe1FpJr5JFPqLwk3TwKeYViQjxsPaVxQSgs8UKu9ZNXKXbQH7BCYSsrtR,1754147094,2025-08-02T17:04:54,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,2028280,207968614267,207970642547,So11111111111111111111111111111111111111111,9,1.0
2zRMZ5jmSwmdwTZu7MY5c5Asqdh1cvKs6y2uKAkfmFeMgHyCsmgXbyZS1jVxoSsTci5DQtaug9HRe5XyrqoEZUYj,1754147093,2025-08-02T17:04:53,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,4067559,207964546707,207968614267,So11111111111111111111111111111111111111111,9,1.0
59hmenmjt7GFQEb6E1dSnL3FXxudTpfn8ADbaS9dozuMhvJ99kzvFt5jMSVCtcxptDXPrjj7StkYa2yWXqSFvhGu,1754147093,2025-08-02T17:04:53,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,4067560,207960479147,207964546707,So11111111111111111111111111111111111111111,9,1.0
25gkJomaJWdzxZyoLN36YErWY1ZYdEijTaw4bACtQWkzEcj7SeAkuZ7HCsjRLjmjMvHcfAFN8Y6LKegBjg8hU7nh,1754147093,2025-08-02T17:04:53,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,6106840,207954372307,207960479147,So11111111111111111111111111111111111111111,9,1.0
BNQUvkLJnB1GksWdHqmhNx6BL6wav2HjReq17oJrswKVf1ccuB6uFa5bvYx63ocnhY2TDWVpDWkjsyWhFma1ZBp,1754147092,2025-08-02T17:04:52,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,6106840,207948265467,207954372307,So11111111111111111111111111111111111111111,9,1.0
5u3egxKYHtXwvHyK9ysszpA7c3RdGEEhXwXEDmfEomoTKKukAU2y5zaYAvTxwNNAxdERmPVyWVSc5W22d2XTqVgd,1754147092,2025-08-02T17:04:52,1e-05,4xLmxHNVDrn81otniiGMVW6dvhi66qeKkkJ3Ph9sGf4j,inc,4067560,207944197907,207948265467,So11111111111111111111111111111111111111111,9,1.0
